state,statefp,cd113fp,zip5
AL,01,04,35033
AL,01,04,35038
AL,01,04,35053
AL,01,04,35055
AL,01,04,35056
AL,01,04,35057
AL,01,04,35058
AL,01,04,35062
AL,01,04,35063
AL,01,04,35070
AL,01,04,35083
AL,01,04,35077
AL,01,04,35087
AL,01,04,35098
AL,01,04,35148
AL,01,04,35130
AL,01,04,35175
AL,01,04,35179
AL,01,04,35406
AL,01,04,35444
AL,01,04,35446
AL,01,04,35457
AL,01,04,35458
AL,01,04,35468
AL,01,04,35473
AL,01,04,35475
AL,01,04,35476
AL,01,04,35482
AL,01,04,35501
AL,01,04,35502
AL,01,04,35503
AL,01,04,35504
AL,01,04,35540
AL,01,04,35541
AL,01,04,35542
AL,01,04,35543
AL,01,04,35544
AL,01,04,35545
AL,01,04,35546
AL,01,04,35548
AL,01,04,35549
AL,01,04,35550
AL,01,04,35551
AL,01,04,35552
AL,01,04,35553
AL,01,04,35554
AL,01,04,35555
AL,01,04,35559
AL,01,04,35560
AL,01,04,35563
AL,01,04,35564
AL,01,04,35565
AL,01,04,35570
AL,01,04,35571
AL,01,04,35572
AL,01,04,35573
AL,01,04,35574
AL,01,04,35575
AL,01,04,35576
AL,01,04,35577
AL,01,04,35578
AL,01,04,35579
AL,01,04,35580
AL,01,04,35581
AL,01,04,35582
AL,01,04,35584
AL,01,04,35592
AL,01,04,35593
AL,01,04,35594
AL,01,04,35616
AL,01,04,35618
AL,01,04,35643
AL,01,04,35646
AL,01,04,35650
AL,01,04,35651
AL,01,04,35653
AL,01,04,35654
AL,01,04,35660
AL,01,04,35661
AL,01,04,35662
AL,01,04,35672
AL,01,04,35674
AL,01,04,35747
AL,01,04,35585
AL,01,04,35586
AL,01,04,35902
AL,01,04,35587
AL,01,04,35904
AL,01,04,35905
AL,01,04,35906
AL,01,04,35907
AL,01,04,35950
AL,01,04,35951
AL,01,04,35755
AL,01,04,35954
AL,01,04,35956
AL,01,04,35957
AL,01,04,35901
AL,01,04,35903
AL,01,04,35961
AL,01,04,35967
AL,01,04,35968
AL,01,04,35971
AL,01,04,35972
AL,01,04,35973
AL,01,04,35974
AL,01,04,35975
AL,01,04,35976
AL,01,04,35978
AL,01,04,35980
AL,01,04,35981
AL,01,04,35963
AL,01,04,35984
AL,01,04,35986
AL,01,04,35964
AL,01,04,35989
AL,01,04,35988
AL,01,04,35990
AL,01,04,35962
AL,01,05,35601
AL,01,05,35602
AL,01,05,35603
AL,01,05,35609
AL,01,05,35610
AL,01,05,35611
AL,01,05,35612
AL,01,05,35613
AL,01,05,35614
AL,01,05,35615
AL,01,05,35617
AL,01,05,35619
AL,01,05,35620
AL,01,05,35621
AL,01,05,35622
AL,01,05,35631
AL,01,05,35632
AL,01,05,35633
AL,01,05,35630
AL,01,05,35640
AL,01,05,35634
AL,01,05,35645
AL,01,05,35649
AL,01,05,35648
AL,01,05,35647
AL,01,05,35652
AL,01,05,35671
AL,01,05,35670
AL,01,05,35673
AL,01,05,35677
AL,01,05,35699
AL,01,05,35739
AL,01,05,35740
AL,01,05,35741
AL,01,05,35742
AL,01,05,35744
AL,01,05,35745
AL,01,05,35746
AL,01,05,35748
AL,01,05,35749
AL,01,05,35750
AL,01,05,35751
AL,01,05,35752
AL,01,05,35754
AL,01,05,35756
AL,01,05,35757
AL,01,05,35758
AL,01,05,35759
AL,01,05,35760
AL,01,05,35761
AL,01,05,35762
AL,01,05,35763
AL,01,05,35764
AL,01,05,35765
AL,01,05,35766
AL,01,05,35767
AL,01,05,35768
AL,01,05,35769
AL,01,05,35771
AL,01,05,35772
AL,01,05,35773
AL,01,05,35774
AL,01,05,35775
AL,01,05,35776
AL,01,05,35801
AL,01,05,35802
AL,01,05,35803
AL,01,05,35804
AL,01,05,35805
AL,01,05,35806
AL,01,05,35807
AL,01,05,35808
AL,01,05,35809
AL,01,05,35810
AL,01,05,35813
AL,01,05,35814
AL,01,05,35815
AL,01,05,35816
AL,01,05,35824
AL,01,05,35893
AL,01,05,35811
AL,01,05,35895
AL,01,05,35896
AL,01,05,35897
AL,01,05,35812
AL,01,05,35899
AL,01,05,35894
AL,01,05,35898
AL,01,05,35958
